City,highest_expense_type,lowest_expense_type
"Kakinada, India",Grocery,Bills
"Adoor, India",Fuel,Bills
"Gaya, India",Food,Bills
"Vita, India",Fuel,Bills
"Ramganj Mandi, India",Grocery,Bills
"Tiruchengode, India",Fuel,Bills
"Sri Madhopur, India",Grocery,Bills
"Veraval, India",Grocery,Entertainment
"Tuni, India",Fuel,Bills
"Tindivanam, India",Grocery,Bills
"Latur, India",Fuel,Bills
"Madhepura, India",Grocery,Fuel
"Malerkotla, India",Grocery,Entertainment
"Dumraon, India",Grocery,Entertainment
"Tiruppur, India",Grocery,Bills
"Tundla, India",Grocery,Entertainment
"Vinukonda, India",Fuel,Entertainment
"Tandur, India",Grocery,Bills
"Thanjavur, India",Grocery,Bills
"Partur, India",Grocery,Entertainment
"Shahjahanpur, India",Grocery,Bills
"Sihora, India",Fuel,Bills
"Shivamogga, India",Fuel,Bills
"Raiganj, India",Fuel,Food
"Mihijam, India",Grocery,Bills
"Ramanagaram, India",Grocery,Bills
"Faridkot, India",Grocery,Entertainment
"Anakapalle, India",Grocery,Bills
"Punalur, India",Grocery,Entertainment
"Nellikuppam, India",Grocery,Bills
"Nirmal, India",Fuel,Bills
"Forbesganj, India",Food,Bills
"Purna, India",Grocery,Bills
"Habra, India",Grocery,Bills
